Woonsa:0,Dominic:1,Sath:2,Feng Yan:3,Miho:4,Rasheed:5,Verad:6,Aegir:7,Lushen:9,Figaro:10,Hekerson:11,Ryan:12,Lulu and Friends:8,Ariel:13,Laika:14,Kaki:15,Raoq:16,Mellia:17,Coco:18,Xiao Ling:19,Loren:20,Chloe:21,Riley:22,Trevor:23,
6,15,21,22,10336,241,
4,12,21,22,10228,265,
4,6,7,21,10224,14,
6,7,21,22,10174,1519,
6,7,19,21,10105,816,
14,15,21,22,10079,859,
3,6,19,22,10053,437,
1,10,21,22,10053,540,
1,16,21,22,10036,350,
0,6,7,21,10022,1144,
6,7,16,21,10014,161,
1,12,13,21,10012,65,
3,6,7,22,10004,118,
3,16,21,22,9988,449,
0,1,21,22,9963,984,
1,3,13,21,9953,300,
12,15,21,22,9935,463,
1,3,12,21,9933,700,
1,12,21,22,9930,1653,
1,6,7,21,9921,3366,
15,19,21,22,9906,317,
6,7,14,21,9898,1617,
3,6,15,21,9888,1533,
2,6,7,21,9882,1281,
3,6,15,22,9881,1882,
3,15,21,22,9874,1956,
3,6,21,22,9857,1912,
3,6,21,23,9855,69,
1,6,19,21,9853,1143,
1,15,21,22,9844,1654,
3,6,8,22,9833,717,
3,12,19,21,9829,906,
3,6,16,22,9817,718,
1,6,19,22,9813,493,
1,6,12,21,9812,1400,
1,6,15,21,9805,1414,
3,14,21,22,9805,1785,
5,6,7,21,9804,879,
6,7,21,23,9803,1297,
0,3,9,21,9802,276,
6,14,15,21,9796,67,
3,4,6,22,9793,1480,
1,6,14,21,9789,767,
4,6,7,22,9788,298,
14,16,21,22,9785,1212,
0,15,21,22,9783,1186,
3,10,13,21,9781,430,
1,4,6,21,9780,809,
9,15,21,22,9779,2044,
7,19,21,22,9777,687,
3,6,14,22,9775,146,
3,7,19,21,9770,224,
0,6,15,21,9769,675,
1,6,15,22,9765,1101,
3,13,14,21,9761,269,
1,7,21,22,9760,771,
3,12,21,22,9760,2265,
3,12,15,21,9758,1003,
3,6,9,21,9753,1346,
1,3,6,22,9751,1590,
1,3,6,21,9747,2095,
3,13,15,21,9742,70,
1,3,15,21,9739,671,
0,6,7,22,9738,966,
1,6,17,21,9716,782,
3,4,21,22,9715,2336,
1,12,19,21,9706,1201,
2,3,12,21,9699,94,
0,1,12,21,9680,1563,
1,6,9,21,9668,129,
1,3,19,22,9668,155,
6,9,15,21,9667,606,
6,9,13,22,9665,2,
3,4,15,21,9665,183,
0,1,16,21,9664,380,
6,7,15,22,9655,46,
1,19,21,22,9651,1896,
0,1,15,21,9646,1275,
1,6,7,22,9642,2762,
3,12,14,21,9639,1087,
6,13,15,22,9639,1505,
0,1,6,22,9633,2558,
0,6,15,22,9624,1240,
6,12,16,21,9623,932,
6,12,15,21,9611,1658,
3,7,14,21,9605,622,
1,6,20,22,9605,695,
3,9,12,21,9603,1363,
4,16,21,22,9599,1761,
9,14,15,21,9596,1399,
9,16,21,22,9593,765,
6,9,21,22,9590,2749,
3,14,19,21,9584,890,
3,7,15,21,9575,755,
3,19,21,22,9573,2148,
3,13,17,22,9571,6,
2,15,21,22,9571,424,
2,3,21,22,9568,1300,
6,7,18,21,9555,1903,
1,14,15,21,9555,2086,
6,7,20,21,9554,3788,
1,3,15,22,9546,1026,
3,8,12,21,9542,835,
6,15,19,21,9541,1156,
2,6,21,22,9537,1682,
3,15,19,22,9535,458,
1,10,15,21,9526,284,
3,6,12,22,9525,1695,
6,7,8,21,9523,2224,
0,1,10,21,9521,164,
1,5,6,21,9520,911,
0,1,15,22,9519,1544,
1,6,8,22,9514,1853,
1,4,6,22,9514,2173,
3,15,19,21,9509,1016,
3,6,10,21,9505,1742,
7,9,21,22,9503,515,
12,19,21,22,9503,1582,
1,6,16,22,9496,794,
3,4,12,22,9495,236,
2,3,6,22,9494,785,
1,14,16,21,9491,907,
0,6,19,22,9489,336,
1,6,21,22,9488,3657,
7,14,15,21,9485,908,
1,6,21,23,9484,1319,
1,4,7,21,9483,29,
1,3,6,8,9483,324,
1,6,22,23,9483,1152,
1,3,16,21,9478,815,
3,6,10,22,9474,2216,
3,7,15,22,9472,780,
3,4,13,22,9472,1520,
3,4,19,22,9471,1323,
1,6,20,21,9468,1178,
4,6,15,22,9464,1229,
3,6,17,22,9458,1485,
3,10,19,22,9453,242,
3,6,7,15,9444,99,
1,5,6,22,9444,1030,
12,16,21,22,9443,1584,
1,6,12,22,9441,165,
0,1,3,22,9438,562,
10,13,15,22,9433,341,
3,4,6,7,9427,634,
3,6,16,21,9426,3114,
6,15,16,21,9425,343,
6,10,15,22,9425,934,
3,6,9,22,9420,2422,
6,7,10,21,9419,3835,
0,9,15,21,9404,1355,
6,14,15,22,9401,747,
1,12,15,21,9398,2139,
6,7,22,23,9394,2060,
1,7,15,21,9393,34,
1,3,19,21,9387,2358,
3,7,9,21,9384,901,
4,6,7,13,9382,153,
1,6,8,19,9380,162,
6,7,11,21,9377,1580,
14,18,21,22,9376,556,
3,15,16,21,9374,420,
1,12,16,21,9373,1370,
1,9,12,21,9369,292,
12,14,15,21,9365,2133,
4,5,6,22,9364,23,
4,12,16,21,9362,779,
10,15,21,22,9361,2206,
1,15,19,21,9360,927,
1,8,15,21,9359,641,
3,8,9,21,9356,147,
3,9,19,21,9353,1463,
3,9,14,21,9350,560,
6,15,19,22,9348,752,
1,4,15,21,9348,1626,
6,15,22,23,9344,455,
3,6,11,22,9344,836,
3,7,17,21,9339,1233,
10,16,21,22,9338,1387,
13,15,21,22,9336,1696,
1,6,18,22,9335,1061,
0,1,6,7,9334,530,
4,6,15,21,9332,2389,
6,16,20,21,9330,63,
7,14,16,21,9330,439,
4,7,15,21,9327,503,
0,1,19,21,9327,1966,
3,15,17,21,9321,1724,
6,7,16,22,9318,1448,
1,7,19,21,9315,669,
6,15,17,21,9313,1594,
3,7,22,23,9311,86,
3,6,7,23,9311,1991,
4,15,21,22,9311,3309,
12,14,16,21,9306,2292,
2,3,15,21,9305,800,
13,14,15,22,9298,563,
3,12,19,22,9295,333,
1,6,13,22,9294,3000,
3,6,7,19,9293,438,
0,3,15,22,9292,1885,
1,6,14,22,9290,1243,
1,6,10,22,9288,2286,
3,6,22,23,9282,3041,
0,12,16,21,9280,1214,
4,12,15,21,9276,1130,
4,6,9,21,9274,1486,
3,12,16,21,9273,3013,
1,6,16,21,9270,3757,
1,6,13,15,9269,1944,
6,10,16,21,9266,824,
1,4,12,21,9265,2823,
3,6,7,13,9262,1778,
6,10,12,21,9261,1964,
2,3,19,21,9257,364,
3,13,17,21,9254,1272,
0,3,15,21,9254,2217,
1,17,19,21,9248,804,
1,8,14,21,9247,923,
1,3,4,22,9245,1633,
3,9,13,21,9240,1357,
