Woonsa:0,Dominic:1,Sath:2,Feng Yan:3,Miho:4,Rasheed:5,Verad:6,Aegir:7,Lushen:9,Figaro:10,Hekerson:11,Ryan:12,Lulu and Friends:8,Ariel:13,Laika:14,Kaki:15,Raoq:16,Mellia:17,Coco:18,Xiao Ling:19,Loren:20,Chloe:21,Riley:22,Trevor:23,
13,17,19,23,3512,5364
7,9,10,20,4739,5886
2,8,14,16,3990,6635
2,8,19,20,1896,8729
0,7,16,23,5893,2983
8,12,14,20,1218,7658
1,7,11,16,5217,5408
2,9,10,21,4651,5974
11,17,19,21,4012,6613
1,2,16,22,7281,3344
1,4,6,19,8025,2600
0,1,13,18,5560,5065
4,7,8,21,7015,3610
4,12,13,16,3619,5258
5,10,18,22,5673,4952
9,16,19,21,7890,2735
2,6,16,20,5896,4729
3,11,18,20,2122,8503
6,8,14,16,8087,2538
4,5,9,19,3657,6968
8,9,15,21,5787,4838
6,8,16,20,7688,2937
3,11,22,23,6679,3946
4,15,20,22,7919,2706
2,6,14,16,6208,4417
5,13,16,20,3992,6633
1,11,13,22,7622,3003
0,3,6,22,8780,1845
11,17,20,23,2591,8034
0,6,18,23,4962,3915
0,1,13,16,7944,2681
0,7,20,21,8120,2505
9,10,14,22,6712,3913
1,2,6,13,8526,2099
4,7,10,17,4831,4045
5,16,17,20,2030,6847
0,1,2,13,5393,5232
4,6,7,19,7187,1689
12,17,21,23,6214,4411
3,13,14,16,7443,3182
8,14,15,18,4376,6249
3,12,14,21,4153,4723
9,10,18,23,3580,7045
3,16,19,22,8555,2070
0,4,13,22,6406,4219
5,6,11,20,4888,5737
8,12,19,23,6344,4281
0,12,17,22,5238,5387
3,10,17,19,4149,4727
10,15,18,21,7783,2842
8,12,20,23,4066,6559
16,17,18,23,3174,7451
0,7,20,23,6771,3854
0,2,5,23,3124,7501
3,15,18,23,5909,4716
5,14,18,20,1313,9312
12,15,16,21,5783,4842
3,4,21,23,9620,1005
9,10,13,19,3238,7387
1,8,17,20,4778,5847
7,11,15,19,4468,6157
7,13,15,21,8711,1914
10,11,13,15,4460,6165
2,13,16,19,4869,5756
6,10,14,23,6276,4349
0,1,18,19,5014,5611
1,10,13,22,9494,1131
2,6,7,20,8189,2436
0,6,18,19,7048,3577
4,9,10,15,5824,4801
6,14,17,19,5117,5508
0,1,9,15,5811,3066
0,7,19,21,9537,1088
8,21,22,23,4175,6450
8,17,22,23,4154,6471
1,2,4,7,5876,4749
6,11,12,22,3341,5535
1,2,5,23,3227,7398
0,2,15,23,5654,4971
6,8,11,17,3317,5559
5,7,9,18,4475,6150
9,12,13,17,3626,6999
3,11,18,22,5600,5025
0,1,3,14,6335,4290
1,19,20,22,7701,2924
12,13,21,23,2063,6813
2,5,6,8,7249,3376
7,16,20,23,4486,4390
6,8,11,21,8444,2181
6,9,16,22,9286,1339
12,17,22,23,5141,5484
4,16,18,22,5551,3325
2,6,7,18,7903,2722
17,18,19,20,2287,8338
3,4,9,21,8752,1873
5,11,18,22,1925,8700
2,3,15,18,4688,5937
3,4,11,13,7612,3013
1,2,7,20,5052,5573
9,13,18,19,3135,7490
2,3,13,21,7003,3622
3,6,8,21,7184,3441
4,14,18,21,6222,4403
11,15,18,22,5445,5180
1,3,9,12,4578,6047
14,15,17,20,3300,7325
7,14,15,20,5182,5443
0,2,10,22,3941,6684
1,3,11,17,4548,6077
4,5,12,13,4643,5982
3,12,16,17,4184,6441
4,5,6,8,5460,5165
1,3,7,12,4754,4123
1,12,17,18,2117,8508
7,8,9,12,3770,6855
4,8,16,21,7900,2725
5,11,15,19,3308,7317
2,8,19,23,3506,7119
5,9,13,18,3126,7499
10,14,17,21,6763,3862
8,14,16,22,6672,3953
1,8,21,22,3295,5581
3,7,12,13,5153,5472
3,8,12,17,2996,5880
1,15,18,21,7777,2848
0,4,13,23,6487,4138
2,8,14,18,2185,8440
7,12,13,20,3223,7402
0,6,9,18,6725,3900
6,15,16,20,6112,2764
10,11,12,13,2344,8281
6,10,15,21,9514,1111
0,5,11,17,898,9727
9,10,11,22,3843,6782
3,13,16,18,6327,4298
1,7,12,21,8204,2421
5,6,10,11,2325,6551
6,7,15,22,9845,780
6,17,19,20,6403,4222
0,1,9,10,5569,5056
7,17,19,20,4791,5834
1,4,7,22,8974,1651
10,11,18,19,1734,8891
2,3,7,22,8408,2217
4,16,19,21,9399,1226
0,6,12,23,6881,3744
6,9,18,19,5681,4944
10,12,13,21,4813,5812
4,10,15,23,4402,4474
0,6,16,21,9584,1041
0,1,7,17,7092,3533
7,10,15,19,6119,4506
5,6,10,15,4948,3929
0,4,11,16,2908,5968
0,1,12,21,7032,3593
10,13,16,20,3005,5871
4,5,6,21,3935,4941
1,9,10,17,3440,7185
7,10,16,17,5634,4991
1,6,16,22,9951,674
3,16,18,19,5151,5474
8,16,20,23,4705,5920
7,14,15,17,5168,5457
12,15,18,23,3221,7404
8,10,11,18,2409,8216
10,12,16,17,2672,7953
0,8,13,21,4067,6558
15,16,17,19,4673,5952
6,8,9,20,4190,4686
2,5,6,15,6423,4202
5,6,16,17,6210,4415
8,9,12,21,6087,4538
0,3,11,12,4135,6490
4,6,7,12,6769,2107
1,6,10,21,5749,3127
0,9,22,23,8244,2381
1,16,19,23,5783,4842
6,17,19,22,8652,1973
0,3,17,23,7544,3081
3,7,11,15,6480,4145
7,8,14,22,3747,5130
7,11,15,18,4199,6426
5,14,17,21,8417,2208
7,11,16,20,3671,6954
1,3,11,20,3728,6897
1,12,14,16,3367,7258
2,3,13,19,4568,6057
