Kumar:0,Sath:1,Verad:2,Aegir:3,Figaro:4,Hekerson:5,Ariel:6,Laika:7,Raoq:8,Coco:9,Riley:10,Woonsa:11,Dominic:12,Chakra:13,Alice:14,Feng Yan:15,Miho:16,Tatu:17,Rasheed:18,Lulu and Friends:19,Lushen:20,Ryan:21,Kaki:22,Mellia:23,Xiao Ling:24,Loren:25,Chloe:26,Trevor:27,
10,13,14,15,19618,495,
2,10,13,14,19598,541,
2,10,13,15,19501,794,
10,13,14,16,19462,679,
2,11,13,15,19288,1047,
10,12,13,14,19238,965,
2,13,22,26,19234,873,
2,10,13,16,19197,1005,
4,10,13,15,19187,1087,
2,10,13,19,19183,726,
2,10,13,27,19162,1017,
10,12,13,15,19148,1197,
10,13,15,16,19140,1141,
2,3,10,13,19088,1285,
2,10,13,18,19080,1070,
2,13,14,19,19064,945,
2,11,13,14,19059,1224,
2,10,13,22,19059,1188,
0,10,13,15,19021,1159,
10,13,14,23,19013,1048,
2,13,20,26,19006,1116,
10,13,15,22,19005,1311,
10,11,13,15,18996,1120,
10,13,14,22,18993,1118,
2,4,13,14,18981,1442,
2,3,13,14,18976,1428,
3,10,13,14,18963,1296,
2,10,11,13,18941,851,
10,13,15,27,18940,1256,
2,4,13,15,18922,1482,
2,11,13,26,18920,936,
10,13,14,18,18916,830,
2,12,13,26,18907,1212,
2,10,22,26,18900,431,
10,13,15,19,18899,1098,
10,13,22,26,18897,802,
6,10,13,15,18891,968,
10,13,14,19,18890,572,
10,13,15,18,18877,1290,
4,10,13,14,18872,1132,
2,10,12,13,18870,1304,
4,13,14,15,18870,1444,
2,11,13,19,18866,1159,
2,13,16,26,18860,1020,
10,13,14,24,18858,1156,
2,13,14,15,18832,1399,
2,11,13,27,18830,1450,
11,13,22,26,18828,1078,
0,10,13,14,18826,768,
10,13,14,21,18820,1268,
2,4,10,13,18808,1282,
2,10,13,23,18803,1379,
2,13,19,26,18790,800,
10,13,16,22,18789,1485,
10,13,15,24,18788,1451,
4,13,14,19,18787,1168,
0,2,13,15,18782,1607,
2,13,16,19,18764,1470,
10,13,16,19,18755,1170,
2,12,13,15,18749,1681,
2,10,13,24,18747,1295,
2,13,15,19,18744,1417,
2,13,21,26,18738,1387,
10,13,14,25,18729,1244,
1,10,13,14,18714,1330,
2,13,14,22,18714,1699,
2,10,13,17,18711,1431,
2,13,19,27,18690,1417,
2,10,13,26,18685,850,
11,13,15,22,18684,1674,
2,11,13,18,18676,1538,
2,6,13,14,18669,1152,
2,4,13,19,18666,1516,
11,13,14,15,18664,1512,
0,13,14,15,18658,1621,
3,4,13,14,18657,1762,
2,11,13,16,18652,1627,
10,13,18,22,18647,1524,
2,12,13,14,18643,1806,
10,13,16,27,18634,1506,
0,2,13,26,18633,1151,
2,3,11,13,18627,1602,
2,13,15,22,18621,1769,
2,3,13,19,18613,1758,
2,3,13,15,18609,1802,
11,13,20,26,18605,1374,
0,2,3,26,18602,1259,
2,6,13,15,18601,1492,
2,12,13,19,18600,1688,
2,3,10,14,18594,1329,
2,11,13,22,18591,1689,
10,13,16,26,18581,734,
2,11,13,24,18579,1735,
10,13,16,18,18572,1564,
2,10,11,22,18571,1100,
12,13,14,15,18558,1806,
0,13,22,26,18558,1408,
12,13,14,19,18552,1572,
10,11,13,14,18550,1111,
10,13,15,21,18541,1726,
10,13,15,17,18519,1691,
2,4,13,26,18519,1415,
1,2,13,26,18512,1475,
7,10,13,14,18506,1239,
3,10,13,15,18500,1814,
2,13,14,16,18491,1907,
6,10,13,14,18486,675,
2,3,10,11,18483,1726,
0,2,13,14,18479,1900,
10,13,14,27,18473,1309,
2,4,11,13,18473,1854,
4,10,13,22,18469,1721,
0,13,14,19,18465,1320,
2,13,19,24,18465,1614,
2,13,19,22,18464,1745,
2,3,10,22,18456,1834,
11,13,14,22,18452,1837,
10,11,13,22,18447,1438,
4,13,22,26,18437,1532,
4,10,13,18,18431,1647,
10,13,19,22,18425,1505,
0,10,22,26,18425,432,
10,13,14,20,18422,1680,
4,11,13,14,18416,1908,
2,13,14,21,18414,2026,
0,13,15,19,18414,1735,
2,10,12,22,18410,1588,
11,13,14,16,18407,1867,
0,2,3,10,18406,1825,
10,12,13,26,18404,1395,
2,10,13,25,18400,1642,
1,10,13,15,18391,1852,
2,13,15,26,18390,1314,
10,13,22,27,18387,1832,
10,12,22,26,18385,1171,
2,4,13,27,18381,2001,
2,12,22,26,18379,1367,
1,2,13,15,18373,2044,
2,13,14,27,18371,1904,
10,13,15,23,18367,1841,
10,13,19,24,18363,1430,
0,2,22,26,18359,1330,
0,2,13,19,18356,1690,
4,11,13,15,18352,2000,
4,13,15,19,18351,1727,
11,13,15,19,18350,1684,
2,13,15,16,18343,1954,
4,6,13,14,18342,1543,
6,13,14,16,18335,1466,
10,12,13,18,18331,1880,
9,10,13,15,18330,1769,
10,13,20,26,18326,1253,
8,10,22,26,18320,865,
10,13,15,25,18320,1913,
3,12,13,14,18317,2103,
0,13,15,26,18316,1271,
2,3,10,12,18314,1937,
2,10,13,21,18313,1741,
2,3,13,27,18311,2032,
10,12,14,22,18299,1435,
2,3,10,26,18298,1464,
6,10,13,16,18291,1285,
10,13,22,24,18289,1878,
11,13,15,26,18285,1232,
9,10,13,14,18285,1378,
2,13,23,26,18282,1667,
2,10,12,14,18276,968,
2,3,11,22,18271,2022,
2,10,12,26,18265,907,
2,13,18,19,18262,1746,
2,13,14,18,18257,1986,
6,13,14,15,18255,1507,
6,12,13,15,18252,1944,
5,10,13,15,18247,1899,
10,13,16,24,18244,1968,
4,13,20,26,18244,1822,
2,13,24,26,18242,1538,
1,2,10,13,18242,1837,
2,13,19,23,18236,1960,
2,11,13,23,18229,2038,
2,4,13,18,18229,2179,
2,13,15,27,18226,2033,
0,2,10,13,18222,1458,
0,11,13,15,18209,2066,
0,13,20,26,18203,1853,
11,13,16,26,18200,1492,
2,3,11,26,18198,1635,
10,12,13,27,18197,2041,
4,13,15,26,18197,1421,
7,10,13,15,18196,1937,
6,11,13,15,18194,1641,
10,13,22,23,18190,2042,
2,13,22,27,18183,2186,
10,13,19,27,18182,1308,
1,13,16,26,18174,1730,
4,10,13,27,18173,1893,
3,10,13,27,18172,2081,
3,13,22,26,18170,1868,
4,13,14,22,18168,2245,
11,13,15,16,18157,2160,
6,13,15,22,18156,1959,
2,10,11,12,18155,1443,
4,12,13,15,18154,2289,
1,2,13,14,18152,2285,
2,12,13,27,18148,2232,
2,13,14,24,18142,2189,
11,13,14,19,18140,1510,
3,6,13,14,18136,1951,
1,2,3,26,18136,1871,
4,13,14,18,18132,2158,
1,13,22,26,18128,1912,
0,3,13,14,18127,2211,
2,13,14,20,18121,2312,
2,3,13,18,18120,2272,
3,11,13,15,18118,2227,
6,13,15,19,18113,1656,
0,10,13,27,18106,1687,
10,20,22,26,18102,975,
12,13,16,26,18098,1763,
10,13,15,26,18098,1110,
2,6,13,16,18092,1911,
2,13,14,23,18088,2336,
2,11,13,17,18080,2153,
2,13,15,21,18074,2305,
11,13,15,27,18072,2181,
2,3,13,16,18069,2288,
6,12,13,14,18067,1925,
4,12,13,14,18067,2398,
11,12,13,15,18065,2352,
10,13,18,24,18064,1969,
4,13,15,22,18064,2325,
3,10,13,22,18054,2123,
4,6,13,15,18052,1981,
2,13,14,25,18046,2377,
2,3,13,26,18044,1811,
4,10,13,24,18043,2112,
0,13,15,22,18040,2358,
2,6,13,27,18039,1954,
2,13,17,19,18035,2128,
11,13,14,20,18034,2318,
2,11,13,25,18032,2178,
10,13,24,27,18031,2069,
2,13,19,25,18029,2110,
0,2,10,11,18026,1038,
1,2,22,26,18026,1769,
2,3,4,13,18026,2332,
10,13,16,17,18025,2137,
4,13,14,16,18024,2400,
6,10,13,22,18020,1460,
6,13,14,22,18019,1843,
11,13,19,22,18017,1920,
2,12,13,18,18014,2432,
3,4,13,15,18012,2407,
0,2,10,12,18010,1632,
2,13,25,26,18007,1848,
2,13,26,27,18006,1697,
4,10,13,16,18005,2128,
0,10,13,18,18000,1821,
10,13,22,25,18000,2204,
12,13,22,26,17999,1858,
1,2,13,19,17994,2246,
12,13,15,26,17992,1771,
2,3,8,26,17987,1991,
0,2,10,22,17984,1760,
2,3,6,13,17980,2283,
