Sath:0,Verad:1,Aegir:2,Figaro:3,Hekerson:4,Ariel:5,Laika:6,Raoq:7,Coco:8,Riley:9,Woonsa:10,Dominic:11,Alice:12,Feng Yan:13,Miho:14,Rasheed:15,Lushen:17,Ryan:18,Lulu and Friends:16,Kaki:19,Mellia:20,Xiao Ling:21,Loren:22,Chloe:23,Trevor:24,
9,11,18,23,12540,120,
1,9,11,23,12396,139,
9,18,19,23,12386,168,
1,2,9,23,12363,153,
6,9,11,23,12338,171,
7,9,11,23,12322,179,
9,11,13,23,12307,202,
9,11,12,23,12292,470,
1,9,19,23,12282,257,
9,17,18,23,12264,321,
9,11,19,23,12261,164,
9,11,14,23,12257,213,
10,11,18,23,12254,220,
6,9,19,23,12237,142,
9,17,19,23,12231,130,
9,11,23,24,12224,329,
13,18,19,23,12219,173,
1,9,17,23,12216,308,
7,9,18,23,12200,516,
11,13,18,23,12199,471,
5,9,11,23,12195,592,
9,10,11,23,12176,489,
9,11,20,23,12171,187,
5,11,18,23,12171,342,
11,13,19,23,12166,282,
9,12,19,23,12166,386,
11,12,18,23,12165,356,
6,11,18,23,12155,264,
7,11,18,23,12145,134,
1,2,13,23,12124,312,
7,9,19,23,12122,210,
6,11,12,23,12121,579,
6,9,17,23,12120,391,
6,11,13,23,12112,333,
1,2,19,23,12107,118,
7,13,18,23,12101,472,
10,11,19,23,12099,230,
6,11,19,23,12097,174,
11,14,18,23,12094,181,
1,2,6,23,12091,310,
1,2,12,23,12079,348,
11,18,19,23,12078,144,
9,11,17,23,12077,156,
11,12,19,23,12074,262,
10,11,13,23,12072,518,
12,18,19,23,12069,261,
7,11,13,23,12064,254,
1,2,11,23,12056,138,
3,9,11,23,12050,496,
6,17,19,23,12048,135,
5,11,19,23,12039,529,
0,9,11,23,12036,370,
2,9,11,23,12031,133,
1,11,13,23,12030,383,
9,13,19,23,12013,642,
1,13,19,23,12011,373,
1,2,14,23,12009,121,
7,9,17,23,12009,319,
12,13,19,23,12005,534,
6,9,18,23,12005,834,
9,14,19,23,12002,573,
2,9,18,23,11997,339,
6,7,11,23,11994,206,
13,17,18,23,11987,231,
13,14,19,23,11984,351,
0,11,18,23,11983,188,
1,11,19,23,11980,236,
0,9,19,23,11980,464,
10,18,19,23,11972,243,
11,12,13,23,11972,709,
5,9,11,19,11962,147,
6,7,9,23,11962,242,
13,14,18,23,11960,646,
6,13,18,23,11956,678,
6,13,19,23,11952,172,
9,14,18,23,11951,959,
2,13,19,23,11950,267,
9,11,21,23,11949,438,
7,11,19,23,11948,128,
2,6,19,23,11946,146,
2,9,19,23,11946,484,
1,13,14,23,11945,65,
10,17,19,23,11937,311,
11,13,14,23,11937,565,
1,2,18,23,11936,121,
6,7,12,23,11934,145,
1,11,18,23,11930,188,
1,2,7,23,11924,132,
10,13,17,23,11920,552,
0,1,2,23,11917,290,
9,10,19,23,11915,777,
6,12,19,23,11910,155,
14,18,19,23,11900,213,
6,12,13,23,11894,796,
6,12,18,23,11891,743,
11,13,23,24,11887,511,
2,6,9,23,11885,660,
1,2,17,23,11881,159,
6,9,12,23,11881,964,
12,17,19,23,11876,475,
2,6,13,23,11875,512,
2,6,11,23,11872,200,
11,14,19,23,11863,316,
5,13,18,23,11863,839,
13,19,20,23,11861,429,
1,13,18,23,11860,689,
9,13,18,23,11855,1018,
8,9,11,23,11854,649,
5,9,11,18,11845,189,
9,19,20,23,11845,681,
6,7,18,23,11841,122,
2,6,18,23,11841,278,
1,18,19,23,11838,274,
13,17,19,23,11837,276,
2,13,14,23,11832,408,
7,13,19,23,11825,237,
10,13,19,23,11825,608,
6,12,17,23,11823,671,
7,10,11,23,11822,542,
5,18,19,23,11822,545,
6,14,18,23,11821,571,
2,9,17,23,11820,175,
12,13,18,23,11815,1087,
9,11,16,23,11813,994,
9,11,22,23,11810,503,
6,13,17,23,11809,540,
0,9,18,23,11804,1059,
1,13,17,23,11800,608,
6,18,19,23,11798,287,
1,17,19,23,11787,354,
0,13,18,23,11787,878,
10,17,18,23,11785,680,
1,2,10,23,11783,442,
9,10,17,23,11783,718,
9,11,15,23,11782,883,
0,13,19,23,11775,209,
9,14,17,23,11764,627,
9,13,17,23,11756,719,
1,7,18,23,11754,305,
2,11,19,23,11751,162,
1,2,20,23,11746,201,
6,10,11,23,11745,807,
2,10,11,23,11744,216,
7,12,18,23,11744,430,
7,13,17,23,11743,346,
0,11,19,23,11742,177,
1,2,5,23,11741,650,
3,13,18,23,11741,922,
6,12,14,23,11740,883,
7,14,18,23,11738,412,
5,7,11,23,11736,936,
11,18,21,23,11731,389,
4,9,11,23,11730,587,
2,14,19,23,11723,250,
7,17,19,23,11722,211,
2,6,14,23,11718,554,
1,2,3,23,11714,366,
12,14,19,23,11711,404,
5,12,19,23,11710,37,
11,12,20,23,11708,850,
6,11,23,24,11707,497,
5,7,18,23,11707,705,
9,11,12,19,11704,154,
2,7,13,23,11703,494,
11,16,18,23,11701,841,
2,7,9,23,11697,589,
10,11,20,23,11697,621,
6,17,18,23,11695,479,
5,7,9,11,11694,289,
1,6,11,23,11694,779,
1,2,8,23,11693,479,
1,2,21,23,11689,338,
2,9,14,23,11689,924,
6,9,13,23,11688,1111,
2,13,18,23,11687,555,
1,9,18,23,11683,1293,
2,10,19,23,11679,431,
9,11,12,13,11677,214,
11,13,20,23,11677,741,
11,18,23,24,11665,420,
9,12,17,23,11661,876,
2,14,18,23,11658,194,
0,9,17,23,11657,570,
3,11,18,23,11656,779,
6,11,14,23,11654,737,
1,2,9,11,11652,141,
10,11,23,24,11652,817,
7,10,18,23,11650,669,
10,13,18,23,11650,1146,
9,17,23,24,11648,624,
13,18,22,23,11647,764,
0,11,13,23,11646,636,
3,13,19,23,11645,654,
1,2,23,24,11644,313,
11,18,20,23,11642,520,
5,14,18,23,11639,898,
7,18,19,23,11637,152,
1,7,11,23,11633,726,
5,9,17,19,11631,217,
10,11,17,23,11630,514,
1,9,11,19,11628,140,
3,9,19,23,11628,1016,
1,2,16,23,11627,623,
17,18,19,23,11625,460,
1,7,13,23,11622,688,
6,12,23,24,11621,498,
14,17,19,23,11619,460,
9,13,14,23,11616,1313,
11,13,17,23,11611,93,
5,9,11,13,11610,455,
11,16,19,23,11610,1131,
6,13,14,23,11609,862,
5,9,11,20,11608,304,
5,9,11,14,11606,509,
2,11,14,23,11605,285,
13,18,20,23,11605,881,
9,17,20,23,11601,499,
13,18,23,24,11599,633,
2,18,19,23,11597,173,
2,13,20,23,11596,708,
5,6,18,23,11589,1039,
14,17,18,23,11587,773,
2,6,7,23,11586,166,
7,13,14,23,11584,863,
5,11,13,23,11582,1352,
9,12,13,19,11578,280,
1,5,9,11,11578,543,
13,14,17,23,11578,602,
3,11,19,23,11576,528,
5,17,19,23,11576,797,
1,17,18,23,11570,501,
1,5,9,17,11569,359,
8,9,17,23,11566,708,
11,17,18,23,11564,483,
10,11,22,23,11563,672,
7,9,13,23,11559,1151,
1,2,22,23,11556,409,
2,10,18,23,11553,413,
9,19,23,24,11553,769,
1,11,17,23,11551,597,
6,14,19,23,11549,324,
11,15,19,23,11547,901,
1,2,9,12,11545,208,
6,7,13,23,11536,454,
6,14,17,23,11536,595,
13,19,22,23,11535,522,
0,18,19,23,11534,320,
1,14,19,23,11532,558,
5,13,19,23,11529,1122,
2,13,17,23,11527,482,
16,18,19,23,11526,1107,
1,12,18,23,11526,1231,
0,2,13,23,11525,703,
6,11,17,23,11524,449,
3,7,18,23,11522,570,
7,11,14,23,11519,605,
6,8,12,23,11518,541,
2,5,11,23,11517,921,
6,16,18,23,11517,1166,
2,7,18,23,11511,286,
2,6,17,23,11509,500,
