Woonsa:0,Dominic:1,Sath:2,Feng Yan:3,Miho:4,Rasheed:5,Verad:6,Aegir:7,Lushen:9,Figaro:10,Hekerson:11,Ryan:12,Lulu and Friends:8,Ariel:13,Laika:14,Kaki:15,Raoq:16,Mellia:17,Coco:18,Xiao Ling:19,Loren:20,Chloe:21,Riley:22,Trevor:23,
13,17,19,23,5626,4999
7,9,10,20,3990,6635
2,8,14,16,3099,7526
2,8,19,20,1170,9455
0,7,16,23,6977,3648
8,12,14,20,3000,7625
1,7,11,16,4622,6003
2,9,10,21,6586,4039
11,17,19,21,6517,4108
1,2,16,22,6639,3986
1,4,6,19,7777,2848
0,1,13,18,5177,5448
4,7,8,21,8868,1757
4,12,13,16,6479,4146
5,10,18,22,6774,3851
9,16,19,21,7692,2933
2,6,16,20,5818,4807
3,11,18,20,1993,8632
6,8,14,16,6811,3814
4,5,9,19,2882,7743
8,9,15,21,6203,4422
6,8,16,20,7344,3281
3,11,22,23,7862,2763
4,15,20,22,8094,2531
2,6,14,16,6118,4507
5,13,16,20,3715,6910
1,11,13,22,7792,2833
0,3,6,22,7830,2795
11,17,20,23,1571,9054
0,6,18,23,6086,4539
0,1,13,16,7665,2960
0,7,20,21,8151,2474
9,10,14,22,5180,5445
1,2,6,13,7273,3352
4,7,10,17,6157,4468
5,16,17,20,2058,8567
0,1,2,13,4892,5733
4,6,7,19,8602,2023
12,17,21,23,5140,5485
3,13,14,16,6712,3913
8,14,15,18,4418,6207
3,12,14,21,8257,2368
9,10,18,23,2871,7754
3,16,19,22,9275,1350
0,4,13,22,4259,6366
5,6,11,20,4391,6234
8,12,19,23,5469,5156
0,12,17,22,6683,3942
3,10,17,19,5787,4838
10,15,18,21,6453,4172
8,12,20,23,4381,6244
16,17,18,23,2359,8266
0,7,20,23,6073,4552
0,2,5,23,2498,8127
3,15,18,23,5469,5156
5,14,18,20,1047,9578
12,15,16,21,8325,2300
3,4,21,23,7990,2635
9,10,13,19,3940,6685
1,8,17,20,3664,6961
7,11,15,19,4409,6216
7,13,15,21,6383,4242
10,11,13,15,3539,7086
2,13,16,19,3945,6680
6,10,14,23,6456,4169
0,1,18,19,5108,5517
1,10,13,22,8003,2622
2,6,7,20,7957,2668
0,6,18,19,5725,4900
4,9,10,15,5833,4792
6,14,17,19,5133,5492
0,1,9,15,7461,3164
0,7,19,21,9296,1329
8,21,22,23,4368,6257
8,17,22,23,4624,6001
1,2,4,7,5931,4694
6,11,12,22,7077,3548
1,2,5,23,2972,7653
0,2,15,23,5800,4825
6,8,11,17,6388,4237
5,7,9,18,4188,6437
9,12,13,17,3372,7253
3,11,18,22,6035,4590
0,1,3,14,5628,4997
1,19,20,22,7787,2838
12,13,21,23,4421,6204
2,5,6,8,3856,6769
7,16,20,23,4604,6021
6,8,11,21,7065,3560
6,9,16,22,9346,1279
12,17,22,23,4231,6394
4,16,18,22,6094,4531
2,6,7,18,7674,2951
17,18,19,20,1576,9049
3,4,9,21,8882,1743
5,11,18,22,1802,8823
2,3,15,18,4627,5998
3,4,11,13,5442,5183
1,2,7,20,4958,5667
9,13,18,19,2277,8348
2,3,13,21,5449,5176
3,6,8,21,9408,1217
4,14,18,21,7936,2689
11,15,18,22,6249,4376
1,3,9,12,5368,5257
14,15,17,20,3406,7219
7,14,15,20,5233,5392
0,2,10,22,5412,5213
1,3,11,17,4394,6231
4,5,12,13,4932,5693
3,12,16,17,5239,5386
4,5,6,8,7075,3550
1,3,7,12,6418,4207
1,12,17,18,2986,7639
7,8,9,12,4219,6406
4,8,16,21,8429,2196
5,11,15,19,3364,7261
2,8,19,23,4341,6284
5,9,13,18,838,9787
10,14,17,21,5373,5252
8,14,16,22,5510,5115
1,8,21,22,5104,5521
3,7,12,13,5500,5125
3,8,12,17,6370,4255
1,15,18,21,5814,4811
0,4,13,23,6858,3767
2,8,14,18,1674,8951
7,12,13,20,4046,6579
0,6,9,18,6500,4125
6,15,16,20,7606,3019
10,11,12,13,5420,5205
6,10,15,21,8893,1732
0,5,11,17,1341,9284
9,10,11,22,4753,5872
3,13,16,18,5848,4777
1,7,12,21,8898,1727
5,6,10,11,3843,6782
6,7,15,22,9978,647
6,17,19,20,5499,5126
0,1,9,10,5249,5376
7,17,19,20,3955,6670
1,4,7,22,8215,2410
10,11,18,19,1780,8845
2,3,7,22,8408,2217
4,16,19,21,6581,4044
0,6,12,23,7783,2842
6,9,18,19,5816,4809
10,12,13,21,5763,4862
4,10,15,23,5673,4952
0,6,16,21,6828,3797
0,1,7,17,6726,3899
7,10,15,19,6137,4488
5,6,10,15,6419,4206
0,4,11,16,3400,7225
